ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
16-Aug-2019,89.52,-1.10,-1.21%,,,,
15-Aug-2019,90.62,+3.40,+3.90%,,,,
14-Aug-2019,87.22,+9.52,+12.26%,,,,
13-Aug-2019,77.70,-3.88,-4.75%,,,,
12-Aug-2019,81.58,+2.61,+3.30%,,,,
09-Aug-2019,78.97,+0.42,+0.53%,,,,
08-Aug-2019,78.55,-0.52,-0.66%,,,,
07-Aug-2019,79.08,+5.16,+6.97%,,,,
06-Aug-2019,73.92,-3.31,-4.29%,,,,
05-Aug-2019,77.24,+11.12,+16.82%,,,,
02-Aug-2019,66.11,+1.44,+2.22%,,,,
01-Aug-2019,64.68,+9.43,+17.07%,,,,
31-Jul-2019,55.25,-2.60,-4.49%,,,,
30-Jul-2019,57.84,-0.70,-1.20%,,,,
29-Jul-2019,58.55,-0.35,-0.60%,,,,
26-Jul-2019,58.90,-2.09,-3.42%,,,,
25-Jul-2019,60.99,+0.28,+0.46%,,,,
24-Jul-2019,60.71,-0.51,-0.84%,,,,
23-Jul-2019,61.23,+0.25,+0.41%,,,,
22-Jul-2019,60.97,-2.89,-4.53%,,,,
19-Jul-2019,63.86,+0.75,+1.18%,,,,
18-Jul-2019,63.12,+0.83,+1.33%,,,,
17-Jul-2019,62.29,+1.00,+1.63%,,,,
16-Jul-2019,61.29,-0.60,-0.97%,,,,
15-Jul-2019,61.90,-0.88,-1.40%,,,,
12-Jul-2019,62.78,-0.18,-0.29%,,,,
11-Jul-2019,62.96,+0.57,+0.91%,,,,
10-Jul-2019,62.39,-0.51,-0.81%,,,,
09-Jul-2019,62.90,-0.32,-0.50%,,,,
08-Jul-2019,63.22,-2.06,-3.15%,,,,
05-Jul-2019,65.28,-3.05,-4.46%,,,,
03-Jul-2019,68.33,-0.27,-0.40%,,,,
02-Jul-2019,68.60,+2.07,+3.11%,,,,
01-Jul-2019,66.53,-3.90,-5.54%,,,,
28-Jun-2019,70.43,+0.52,+0.74%,,,,
27-Jun-2019,69.92,-3.82,-5.18%,,,,
26-Jun-2019,73.73,-0.49,-0.66%,,,,
25-Jun-2019,74.22,+0.46,+0.63%,,,,
24-Jun-2019,73.76,-0.87,-1.16%,,,,
21-Jun-2019,74.63,+2.26,+3.12%,,,,
20-Jun-2019,72.37,+1.00,+1.40%,,,,
19-Jun-2019,71.37,-5.37,-7.00%,,,,
18-Jun-2019,76.74,-0.14,-0.18%,,,,
17-Jun-2019,76.88,-3.95,-4.88%,,,,
14-Jun-2019,80.82,+5.08,+6.71%,,,,
13-Jun-2019,75.74,+7.31,+10.69%,,,,
12-Jun-2019,68.43,+3.50,+5.39%,,,,
11-Jun-2019,64.93,-0.69,-1.06%,,,,
10-Jun-2019,65.62,-3.07,-4.47%,,,,
07-Jun-2019,68.69,-4.73,-6.44%,,,,
06-Jun-2019,73.42,-4.22,-5.44%,,,,
05-Jun-2019,77.64,+2.38,+3.16%,,,,
04-Jun-2019,75.26,+1.70,+2.31%,,,,
03-Jun-2019,73.56,+0.88,+1.21%,,,,
31-May-2019,72.68,+10.94,+17.72%,,,,
30-May-2019,61.74,-1.41,-2.24%,,,,
29-May-2019,63.16,+1.39,+2.25%,,,,
28-May-2019,61.77,+1.23,+2.03%,,,,
24-May-2019,60.54,-0.53,-0.86%,,,,
23-May-2019,61.07,+6.11,+11.11%,,,,
22-May-2019,54.96,-0.39,-0.70%,,,,
21-May-2019,55.35,-1.20,-2.13%,,,,
20-May-2019,56.55,-0.42,-0.74%,,,,
17-May-2019,56.97,-0.00,-0.00%,,,,
16-May-2019,56.98,-0.43,-0.74%,,,,
15-May-2019,57.40,+2.05,+3.71%,,,,
14-May-2019,55.35,-2.55,-4.40%,,,,
13-May-2019,57.89,+4.40,+8.23%,,,,
10-May-2019,53.49,-1.23,-2.25%,,,,
09-May-2019,54.72,+3.41,+6.66%,,,,
08-May-2019,51.31,-1.05,-2.01%,,,,
07-May-2019,52.36,+4.54,+9.50%,,,,
06-May-2019,47.82,+2.04,+4.45%,,,,
03-May-2019,45.78,-0.93,-2.00%,,,,
02-May-2019,46.72,-0.03,-0.06%,,,,
01-May-2019,46.75,-2.73,-5.51%,,,,
30-Apr-2019,49.47,+1.42,+2.95%,,,,
29-Apr-2019,48.05,-1.38,-2.78%,,,,
26-Apr-2019,49.43,-0.36,-0.72%,,,,
25-Apr-2019,49.79,-0.74,-1.46%,,,,
24-Apr-2019,50.52,+0.74,+1.48%,,,,
23-Apr-2019,49.79,+1.01,+2.06%,,,,
22-Apr-2019,48.78,-0.45,-0.91%,,,,
18-Apr-2019,49.23,+0.58,+1.18%,,,,
17-Apr-2019,48.65,+0.34,+0.70%,,,,
16-Apr-2019,48.31,+0.67,+1.41%,,,,
15-Apr-2019,47.64,-1.21,-2.47%,,,,
12-Apr-2019,48.84,+1.94,+4.14%,,,,
11-Apr-2019,46.90,-1.70,-3.50%,,,,
10-Apr-2019,48.60,-0.23,-0.47%,,,,
09-Apr-2019,48.83,+0.94,+1.96%,,,,
08-Apr-2019,47.89,-1.33,-2.69%,,,,
05-Apr-2019,49.22,-2.48,-4.79%,,,,
04-Apr-2019,51.70,-2.14,-3.98%,,,,
03-Apr-2019,53.84,-0.37,-0.67%,,,,
02-Apr-2019,54.21,+1.52,+2.88%,,,,
01-Apr-2019,52.69,-5.86,-10.01%,,,,
29-Mar-2019,58.55,-1.38,-2.30%,,,,
28-Mar-2019,59.93,-1.05,-1.72%,,,,
27-Mar-2019,60.97,+4.46,+7.89%,,,,
26-Mar-2019,56.51,-0.59,-1.04%,,,,
25-Mar-2019,57.11,+4.85,+9.28%,,,,
22-Mar-2019,52.26,+7.74,+17.40%,,,,
21-Mar-2019,44.51,+1.98,+4.66%,,,,
20-Mar-2019,42.53,-1.15,-2.62%,,,,
19-Mar-2019,43.68,-1.27,-2.83%,,,,
18-Mar-2019,44.95,-1.11,-2.40%,,,,
15-Mar-2019,46.05,+0.82,+1.80%,,,,
14-Mar-2019,45.24,+0.67,+1.50%,,,,
13-Mar-2019,44.57,-0.29,-0.65%,,,,
12-Mar-2019,44.86,+0.02,+0.04%,,,,
11-Mar-2019,44.84,-0.98,-2.14%,,,,
08-Mar-2019,45.83,-0.01,-0.01%,,,,
07-Mar-2019,45.83,+0.20,+0.43%,,,,
06-Mar-2019,45.63,-0.22,-0.49%,,,,
05-Mar-2019,45.86,-0.89,-1.89%,,,,
04-Mar-2019,46.74,-1.16,-2.43%,,,,
01-Mar-2019,47.90,+0.69,+1.45%,,,,
28-Feb-2019,47.22,+0.93,+2.02%,,,,
26-Feb-2019,46.28,+0.12,+0.27%,,,,
25-Feb-2019,46.16,-1.06,-2.24%,,,,
22-Feb-2019,47.22,+0.67,+1.44%,,,,
21-Feb-2019,46.55,+2.00,+4.50%,,,,
20-Feb-2019,44.54,-0.52,-1.15%,,,,
19-Feb-2019,45.06,-0.67,-1.47%,,,,
15-Feb-2019,45.73,-1.45,-3.08%,,,,
14-Feb-2019,47.19,-0.98,-2.04%,,,,
13-Feb-2019,48.17,-0.86,-1.75%,,,,
12-Feb-2019,49.02,+0.70,+1.46%,,,,
11-Feb-2019,48.32,-1.31,-2.64%,,,,
08-Feb-2019,49.63,+0.66,+1.34%,,,,
07-Feb-2019,48.97,+1.53,+3.23%,,,,
06-Feb-2019,47.44,-1.18,-2.43%,,,,
05-Feb-2019,48.62,-0.25,-0.52%,,,,
04-Feb-2019,48.87,+0.09,+0.17%,,,,
01-Feb-2019,48.79,-1.02,-2.05%,,,,
31-Jan-2019,49.81,+1.49,+3.09%,,,,
30-Jan-2019,48.32,-1.48,-2.98%,,,,
29-Jan-2019,49.80,-1.15,-2.26%,,,,
28-Jan-2019,50.95,-1.54,-2.94%,,,,
25-Jan-2019,52.50,-1.68,-3.11%,,,,
24-Jan-2019,54.18,-0.02,-0.03%,,,,
23-Jan-2019,54.19,-0.45,-0.82%,,,,
22-Jan-2019,54.64,+0.86,+1.60%,,,,
18-Jan-2019,53.78,+0.34,+0.64%,,,,
17-Jan-2019,53.44,+1.49,+2.87%,,,,
16-Jan-2019,51.95,-1.06,-2.00%,,,,
15-Jan-2019,53.01,-2.33,-4.21%,,,,
14-Jan-2019,55.34,-0.60,-1.08%,,,,
11-Jan-2019,55.94,-0.71,-1.25%,,,,
10-Jan-2019,56.65,-0.37,-0.65%,,,,
09-Jan-2019,57.02,-2.03,-3.43%,,,,
08-Jan-2019,59.05,-1.84,-3.01%,,,,
07-Jan-2019,60.88,-4.94,-7.51%,,,,
04-Jan-2019,65.82,+0.04,+0.05%,,,,
03-Jan-2019,65.79,+2.98,+4.75%,,,,
02-Jan-2019,62.80,,,,,,
