ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
22-May-2023,132.29,+4.78,+3.75%,127.51,127.51,132.29,
19-May-2023,127.51,+5.01,+4.09%,122.50,122.50,127.51,
18-May-2023,122.50,+1.72,+1.42%,120.78,120.78,122.50,
17-May-2023,120.78,-9.52,-7.31%,130.30,120.78,130.30,
16-May-2023,130.30,+2.41,+1.88%,127.89,127.89,130.30,
15-May-2023,127.89,+7.37,+6.12%,120.52,120.52,127.89,
12-May-2023,120.52,-7.69,-6.00%,128.21,120.52,128.21,
11-May-2023,128.21,+2.61,+2.08%,125.60,125.60,128.21,
10-May-2023,125.60,-8.33,-6.22%,133.93,125.60,133.93,
09-May-2023,133.93,-1.14,-0.84%,135.07,133.93,135.07,
08-May-2023,135.07,+4.86,+3.73%,130.21,130.21,135.07,
05-May-2023,130.21,-10.50,-7.46%,140.71,130.21,140.71,
04-May-2023,140.71,+6.21,+4.62%,134.50,134.50,140.71,
03-May-2023,134.50,-3.05,-2.22%,137.55,134.50,137.55,
02-May-2023,137.55,+9.37,+7.31%,128.18,128.18,137.55,
01-May-2023,128.18,+5.72,+4.67%,122.46,122.46,128.18,
28-Apr-2023,122.46,+0.03,+0.02%,122.43,122.43,122.46,
27-Apr-2023,122.43,-7.96,-6.10%,130.39,122.43,130.39,
26-Apr-2023,130.39,-6.74,-4.92%,137.13,130.39,137.13,
25-Apr-2023,137.13,+10.85,+8.59%,126.28,126.28,137.13,
24-Apr-2023,126.28,+5.44,+4.50%,120.84,120.84,126.28,
21-Apr-2023,120.84,+0.23,+0.19%,120.61,120.61,120.84,
20-Apr-2023,120.61,-3.41,-2.75%,124.02,120.61,124.02,
19-Apr-2023,124.02,+1.24,+1.01%,122.78,122.78,124.02,
18-Apr-2023,122.78,+0.09,+0.07%,122.69,122.69,122.78,
17-Apr-2023,122.69,+3.85,+3.24%,118.84,118.84,122.69,
14-Apr-2023,118.84,-1.11,-0.93%,119.95,118.84,119.95,
13-Apr-2023,119.95,-9.73,-7.50%,129.68,119.95,129.68,
12-Apr-2023,129.68,-10.10,-7.23%,139.78,129.68,139.78,
11-Apr-2023,139.78,-3.22,-2.25%,143.00,139.78,143.00,
10-Apr-2023,143.00,+3.80,+2.73%,139.20,139.20,143.00,
07-Apr-2023,139.20,-8.53,-5.77%,147.73,139.20,147.73,
06-Apr-2023,147.73,-6.17,-4.01%,153.90,147.73,153.90,
05-Apr-2023,153.90,+6.15,+4.16%,147.75,147.75,153.90,
04-Apr-2023,147.75,+9.58,+6.93%,138.17,138.17,147.75,
03-Apr-2023,138.17,+2.24,+1.65%,135.93,135.93,138.17,
31-Mar-2023,135.93,-5.31,-3.76%,141.24,135.93,141.24,
30-Mar-2023,141.24,-9.34,-6.20%,150.58,141.24,150.58,
29-Mar-2023,150.58,-5.38,-3.45%,155.96,150.58,155.96,
28-Mar-2023,155.96,-5.71,-3.53%,161.67,155.96,161.67,
27-Mar-2023,161.67,-11.99,-6.90%,173.66,161.67,173.66,
24-Mar-2023,173.66,+22.26,+14.70%,151.40,151.40,173.66,
23-Mar-2023,151.40,+8.56,+5.99%,142.84,142.84,151.40,
22-Mar-2023,142.84,-19.47,-12.00%,162.31,142.84,162.31,
21-Mar-2023,162.31,-20.33,-11.13%,182.64,162.31,182.64,
20-Mar-2023,182.64,+2.53,+1.40%,180.11,180.11,182.64,
17-Mar-2023,180.11,+12.15,+7.23%,167.96,167.96,180.11,
16-Mar-2023,167.96,-30.75,-15.47%,198.71,167.96,198.71,
15-Mar-2023,198.71,+29.06,+17.13%,169.65,169.65,198.71,
14-Mar-2023,169.65,-3.94,-2.27%,173.59,169.65,173.59,
13-Mar-2023,173.59,+33.53,+23.94%,140.06,140.06,173.59,
10-Mar-2023,140.06,+10.78,+8.34%,129.28,129.28,140.06,
09-Mar-2023,129.28,-0.48,-0.37%,129.76,129.28,129.76,
08-Mar-2023,129.76,-3.57,-2.68%,133.33,129.76,133.33,
07-Mar-2023,133.33,+5.14,+4.01%,128.19,128.19,133.33,
06-Mar-2023,128.19,+5.67,+4.63%,122.52,122.52,128.19,
03-Mar-2023,122.52,-1.60,-1.29%,124.12,122.52,124.12,
02-Mar-2023,124.12,+3.04,+2.51%,121.08,121.08,124.12,
01-Mar-2023,121.08,-2.52,-2.04%,123.60,121.08,123.60,
28-Feb-2023,123.60,+3.57,+2.97%,120.03,120.03,123.60,
27-Feb-2023,120.03,-2.81,-2.29%,122.84,120.03,122.84,
24-Feb-2023,122.84,+5.39,+4.59%,117.45,117.45,122.84,
